9.772993982766400278e+07 1.283824892047224386e+00 1.185226317205162916e+00 1.205787294885683369e+00 -6.227644877987917882e-01 -6.608933726004477816e-01 -5.537163678974774683e-01
9.804870850190642476e+07 1.233649234474460954e+00 1.123827671499589842e+00 1.147083289423753927e+00 -5.958034402400672613e-01 -6.365752762355163519e-01 -5.198536271610312287e-01
9.836747717614884675e+07 1.181283724266415369e+00 1.059465149969446962e+00 1.084245205032468462e+00 -5.685608172615086442e-01 -6.104705481901880892e-01 -4.834157741765060523e-01
9.868624585039126873e+07 1.129611269580931054e+00 9.937038146775044600e-01 1.019323417126144271e+00 -5.422167430051415549e-01 -5.842870254326156809e-01 -4.447641919204636807e-01
9.900501452463370562e+07 1.074288229315777610e+00 9.259349531626779317e-01 9.498227381355619503e-01 -5.155496242504852278e-01 -5.549379826733217280e-01 -4.044836307279578991e-01
9.932378319887612760e+07 1.021345563817114055e+00 8.597569846202750554e-01 8.797094572879380348e-01 -4.913445264292197190e-01 -5.256517436206034066e-01 -3.633585076826895133e-01
9.964255187311854959e+07 9.705391143459457526e-01 7.958117406818504547e-01 8.095308476187974556e-01 -4.695001899930995592e-01 -4.962830268386846932e-01 -3.221078143402106297e-01
9.996132054736097157e+07 9.201359953669588920e-01 7.357721711013697208e-01 7.378860848890257396e-01 -4.506798531418717002e-01 -4.644590038640078467e-01 -2.817107932570467321e-01
1.002800892216033936e+08 8.737354549391921354e-01 6.812390904693940152e-01 6.687777899532350023e-01 -4.354195166832179886e-01 -4.331973192322634003e-01 -2.432148564798742030e-01
1.005988578958458155e+08 8.299275200324393031e-01 6.333019345698989166e-01 6.018680701846840231e-01 -4.237100115232113051e-01 -4.011013345093220606e-01 -2.076965030830646708e-01
1.009176265700882524e+08 7.889525392065389608e-01 5.937268561960412638e-01 5.380678394494382566e-01 -4.160709480252469672e-01 -3.678812824077192789e-01 -1.763844338653906274e-01
1.012363952443306744e+08 7.516770143211649602e-01 5.624240309217415357e-01 4.802542840398971169e-01 -4.114034595196729982e-01 -3.354630356449210260e-01 -1.502782683131351493e-01
1.015551639185730964e+08 7.171836588489459707e-01 5.408739530112003369e-01 4.283000213320758420e-01 -4.100435124512944451e-01 -3.025956873730575869e-01 -1.305107880962565747e-01
1.018739325928155184e+08 6.862439951748524614e-01 5.289572966381898000e-01 3.844981732549692666e-01 -4.111367517430881691e-01 -2.708728108628511988e-01 -1.178152103374703746e-01
1.021927012670579404e+08 6.586376235356022901e-01 5.256246773952900631e-01 3.504800961849822150e-01 -4.132110814891995498e-01 -2.415232979766347154e-01 -1.126153826410859066e-01
1.025114699413003623e+08 6.351835615768439691e-01 5.323282444518459000e-01 3.266123438303429882e-01 -4.172174413619021971e-01 -2.144099567063272038e-01 -1.154164092797238944e-01
1.028302386155427843e+08 6.161645139682437877e-01 5.466491874833735443e-01 3.146254746966454241e-01 -4.212082010916651797e-01 -1.917374143122978492e-01 -1.257584303731877906e-01
1.031490072897852212e+08 6.018637667363327948e-01 5.678142757785765715e-01 3.150095839036027301e-01 -4.246985180691079109e-01 -1.742687733687812712e-01 -1.433632959389497252e-01
1.034677759640276432e+08 5.946879210903116553e-01 5.963001640981185902e-01 3.277709175967427613e-01 -4.291388816220345626e-01 -1.629556885020339296e-01 -1.672736759702828091e-01
1.037865446382700652e+08 5.938942411797928367e-01 6.294634562324225024e-01 3.530427253241748553e-01 -4.327835820774035280e-01 -1.588047520645003985e-01 -1.966023082352801044e-01
1.041053133125124872e+08 6.010465120135156658e-01 6.674217055322890779e-01 3.902585540343063153e-01 -4.367783981691465423e-01 -1.622447229454866968e-01 -2.303321783661187727e-01
