# f,A,E,T
1.000000000000000048e-04,6.350176182741003324e-42,6.350176182741003324e-42,4.052711857526309264e-52
1.009262190987047304e-04,6.350169179552919853e-42,6.350169179552919853e-42,4.206195518718866447e-52
1.018610170155975281e-04,6.350162046541625231e-42,6.350162046541625231e-42,4.365515389546363885e-52
1.028044732093309733e-04,6.350154781310136803e-42,6.350154781310136803e-42,4.530894717397481822e-52
1.037566678745185890e-04,6.350147381417596884e-42,6.350147381417596884e-42,4.702565363833482042e-52
1.047176819485520245e-04,6.350139844378448181e-42,6.350139844378448181e-42,4.880768141135832095e-52
1.056875971184803998e-04,6.350132167661660185e-42,6.350132167661660185e-42,5.065753162226596328e-52
1.066664958279538747e-04,6.350124348689889294e-42,6.350124348689889294e-42,5.257780204519140085e-52
1.076544612842315928e-04,6.350116384838659325e-42,6.350116384838659325e-42,5.457119088251646678e-52
1.086515774652538379e-04,6.350108273435521638e-42,6.350108273435521638e-42,5.664050069908150856e-52
1.096579291267809898e-04,6.350100011759170648e-42,6.350100011759170648e-42,5.878864251332120378e-52
1.106736018095973433e-04,6.350091597038593756e-42,6.350091597038593756e-42,6.101864005184436386e-52
1.116986818467822557e-04,6.350083026452171568e-42,6.350083026452171568e-42,6.333363417404129965e-52
1.127332563710487184e-04,6.350074297126761547e-42,6.350074297126761547e-42,6.573688747380949738e-52
1.137774133221491354e-04,6.350065406136796962e-42,6.350065406136796962e-42,6.823178906554850928e-52
1.148312414543511137e-04,6.350056350503332309e-42,6.350056350503332309e-42,7.082185956208772383e-52
1.158948303439810582e-04,6.350047127193106569e-42,6.350047127193106569e-42,7.351075625239007283e-52
1.169682703970384685e-04,6.350037733117555495e-42,6.350037733117555495e-42,7.630227848730221082e-52
1.180516528568805612e-04,6.350028165131839186e-42,6.350028165131839186e-42,7.920037328193562009e-52
1.191450698119775949e-04,6.350018420033839077e-42,6.350018420033839077e-42,8.220914114353779823e-52
1.202486142037412301e-04,6.350008494563129438e-42,6.350008494563129438e-42,8.533284213435128448e-52
1.213623798344240533e-04,6.349998385399959074e-42,6.349998385399959074e-42,8.857590217904420843e-52
1.224864613750930708e-04,6.349988089164170565e-42,6.349988089164170565e-42,9.194291962697393928e-52
1.236209543736769146e-04,6.349977602414145007e-42,6.349977602414145007e-42,9.543867207970223905e-52
1.247659552630869643e-04,6.349966921645727627e-42,6.349966921645727627e-42,9.906812349504214983e-52
1.259215613694150942e-04,6.349956043291089681e-42,6.349956043291089681e-42,1.028364315789724385e-51
1.270878709202058108e-04,6.349944963717610741e-42,6.349944963717610741e-42,1.067489554774329168e-51
1.282649830528059917e-04,6.349933679226753331e-42,6.349933679226753331e-42,1.108112637806534803e-51
1.294529978227916035e-04,6.349922186052870026e-42,6.349922186052870026e-42,1.150291428530149337e-51
1.306520162124721288e-04,6.349910480362044947e-42,6.349910480362044947e-42,1.194086055020509478e-51
1.318621401394748458e-04,6.349898558250866453e-42,6.349898558250866453e-42,1.239559000008957143e-51
1.330834724654074680e-04,6.349886415745220206e-42,6.349886415745220206e-42,1.286775194789806535e-51
1.343161170046015297e-04,6.349874048799059309e-42,6.349874048799059309e-42,1.335802116965490473e-51
1.355601785329368979e-04,6.349861453293103067e-42,6.349861453293103067e-42,1.386709892190680509e-51
1.368157627967471913e-04,6.349848625033575258e-42,6.349848625033575258e-42,1.439571400084629969e-51
1.380829765218092263e-04,6.349835559750914366e-42,6.349835559750914366e-42,1.494462384489329468e-51
1.393619274224142113e-04,6.349822253098418817e-42,6.349822253098418817e-42,1.551461568255504300e-51
1.406527242105236439e-04,6.349808700650908778e-42,6.349808700650908778e-42,1.610650772748779633e-51
1.419554766050101563e-04,6.349794897903366299e-42,6.349794897903366299e-42,1.672115042278718056e-51
1.432702953409830901e-04,6.349780840269520643e-42,6.349780840269520643e-42,1.735942773657836700e-51
1.445972921792019463e-04,6.349766523080475679e-42,6.349766523080475679e-42,1.802225851110089255e-51
1.459365799155756230e-04,6.349751941583218751e-42,6.349751941583218751e-42,1.871059786757159015e-51
1.472882723907501770e-04,6.349737090939202184e-42,6.349737090939202184e-42,1.942543866922708835e-51
1.486524844997857086e-04,6.349721966222849606e-42,6.349721966222849606e-42,2.016781304499673641e-51
1.500293322019218239e-04,6.349706562420043144e-42,6.349706562420043144e-42,2.093879397645023926e-51
1.514189325304352018e-04,6.349690874426586410e-42,6.349690874426586410e-42,2.173949695073093917e-51
1.528214036025869315e-04,6.349674897046673860e-42,6.349674897046673860e-42,2.257108168228068761e-51
1.542368646296629023e-04,6.349658624991304072e-42,6.349658624991304072e-42,2.343475390637579682e-51
1.556654359271062154e-04,6.349642052876653522e-42,6.349642052876653522e-42,2.433176724752908902e-51
1.571072389247450316e-04,6.349625175222483484e-42,6.349625175222483484e-42,2.526342516602831093e-51
1.585623961771137158e-04,6.349607986450452636e-42,6.349607986450452636e-42,2.623108298599059966e-51
1.600310313738700137e-04,6.349590480882461514e-42,6.349590480882461514e-42,2.723615000845034246e-51
1.615132693503091297e-04,6.349572652738948542e-42,6.349572652738948542e-42,2.828009171320824456e-51
1.630092360979741085e-04,6.349554496137146552e-42,6.349554496137146552e-42,2.936443205330342607e-51
1.645190587753662351e-04,6.349536005089330381e-42,6.349536005089330381e-42,3.049075584612620550e-51
1.660428657187529582e-04,6.349517173501030066e-42,6.349517173501030066e-42,3.166071126544099988e-51
1.675807864530766986e-04,6.349497995169237649e-42,6.349497995169237649e-42,3.287601243868003844e-51
1.691329517029648683e-04,6.349478463780537535e-42,6.349478463780537535e-42,3.413844215418976860e-51
