# f,A,E,T
9.999999999999999547e-08,2.704938938781896233e-39,2.704938938781896233e-39,1.957095364954567468e-53
1.016265089392995210e-07,2.704938882148637809e-39,2.704938882148637809e-39,2.087565010075824351e-53
1.032794731918952511e-07,2.704938823658111990e-39,2.704938823658111990e-39,2.226732405013776320e-53
1.049593230558226616e-07,2.704938763249403103e-39,2.704938763249403103e-39,2.375177384527863141e-53
1.066664958279538802e-07,2.704938700859612105e-39,2.704938700859612105e-39,2.533518438000130477e-53
1.084014359178330915e-07,2.704938636423764908e-39,2.704938636423764908e-39,2.702415286340053323e-53
1.101645949633656868e-07,2.704938569874761482e-39,2.704938569874761482e-39,2.882571630678493564e-53
1.119564319483879454e-07,2.704938501143303418e-39,2.704938501143303418e-39,3.074738084302679329e-53
1.137774133221490262e-07,2.704938430157816610e-39,2.704938430157816610e-39,3.279715300048016666e-53
1.156280131207375345e-07,2.704938356844383060e-39,2.704938356844383060e-39,3.498357306176962853e-53
1.175087130904807491e-07,2.704938281126654750e-39,2.704938281126654750e-39,3.731575064643309029e-53
1.194200028133532503e-07,2.704938202925790014e-39,2.704938202925790014e-39,3.980340266567620149e-53
1.213623798344241704e-07,2.704938122160347180e-39,2.704938122160347180e-39,4.245689380737057607e-53
1.233363497913774651e-07,2.704938038746228775e-39,2.704938038746228775e-39,4.528727971997537051e-53
1.253424265461399463e-07,2.704937952596564401e-39,2.704937952596564401e-39,4.830635307530571981e-53
1.273811323186478357e-07,2.704937863621652003e-39,2.704937863621652003e-39,5.152669270206238534e-53
1.294529978227916090e-07,2.704937771728833561e-39,2.704937771728833561e-39,5.496171599483757348e-53
1.315585624045705102e-07,2.704937676822415811e-39,2.704937676822415811e-39,5.862573481695315741e-53
1.336983741824945362e-07,2.704937578803574324e-39,2.704937578803574324e-39,6.253401513004721141e-53
1.358729901902709220e-07,2.704937477570229193e-39,2.704937477570229193e-39,6.670284059885085520e-53
1.380829765218092195e-07,2.704937373016972282e-39,2.704937373016972282e-39,7.114958043615877943e-53
1.403289084785873225e-07,2.704937265034920728e-39,2.704937265034920728e-39,7.589276177066599758e-53
1.426113707194129791e-07,2.704937153511631464e-39,2.704937153511631464e-39,8.095214683918610940e-53
1.449309574126215045e-07,2.704937038330971036e-39,2.704937038330971036e-39,8.634881532486339589e-53
1.472882723907501910e-07,2.704936919372996191e-39,2.704936919372996191e-39,9.210525218444041307e-53
1.496839293077255471e-07,2.704936796513829897e-39,2.704936796513829897e-39,9.824544133049496685e-53
1.521185517986104820e-07,2.704936669625537687e-39,2.704936669625537687e-39,1.047949655589807072e-52
1.545927736419478581e-07,2.704936538575982471e-39,2.704936538575982471e-39,1.117811131383976011e-52
1.571072389247448800e-07,2.704936403228698601e-39,2.704936403228698601e-39,1.192329915046950180e-52
1.596626022101425254e-07,2.704936263442745045e-39,2.704936263442745045e-39,1.271816485356075939e-52
1.622595287078087161e-07,2.704936119072554007e-39,2.704936119072554007e-39,1.356602019096910098e-52
1.648986944471065015e-07,2.704935969967788344e-39,2.704935969967788344e-39,1.447039770890390175e-52
1.675807864530768794e-07,2.704935815973180395e-39,2.704935815973180395e-39,1.543506545005591664e-52
1.703065029252842706e-07,2.704935656928371454e-39,2.704935656928371454e-39,1.646404265290286785e-52
1.730765534195723988e-07,2.704935492667737222e-39,2.704935492667737222e-39,1.756161649760341574e-52
1.758916590327732712e-07,2.704935323020228588e-39,2.704935323020228588e-39,1.873235996824787640e-52
1.787525525904235503e-07,2.704935147809186311e-39,2.704935147809186311e-39,1.998115090588906555e-52
1.816599788375328637e-07,2.704934966852157331e-39,2.704934966852157331e-39,2.131319233173446638e-52
1.846146946324545581e-07,2.704934779960702275e-39,2.704934779960702275e-39,2.273403412517444539e-52
1.876174691439119424e-07,2.704934586940205567e-39,2.704934586940205567e-39,2.424959614696665623e-52
1.906690840512252028e-07,2.704934387589664666e-39,2.704934387589664666e-39,2.586619290391440899e-52
1.937703337477988926e-07,2.704934181701489408e-39,2.704934181701489408e-39,2.759055985780528413e-52
1.969220255479173499e-07,2.704933969061283084e-39,2.704933969061283084e-39,2.942988148822016320e-52
2.001249798969034979e-07,2.704933749447614382e-39,2.704933749447614382e-39,3.139182122613454733e-52
2.033800305846979910e-07,2.704933522631792912e-39,2.704933522631792912e-39,3.348455338302781420e-52
2.066880249629082045e-07,2.704933288377624514e-39,2.704933288377624514e-39,3.571679720852595517e-52
2.100498241653915226e-07,2.704933046441173077e-39,2.704933046441173077e-39,3.809785321847955669e-52
2.134663033324245399e-07,2.704932796570505731e-39,2.704932796570505731e-39,4.063764194482975510e-52
2.169383518385182109e-07,2.704932538505414216e-39,2.704932538505414216e-39,4.334674526870926080e-52
2.204668735239407535e-07,2.704932271977174748e-39,2.704932271977174748e-39,4.623645050899091790e-52
2.240527869300018023e-07,2.704931996708235459e-39,2.704931996708235459e-39,4.931879744996472646e-52
2.276970255381680099e-07,2.704931712411955057e-39,2.704931712411955057e-39,5.260662850408817347e-52
2.314005380130654173e-07,2.704931418792280806e-39,2.704931418792280806e-39,5.611364221879751141e-52
2.351642884494351125e-07,2.704931115543463366e-39,2.704931115543463366e-39,5.985445035031364507e-52
2.389892566231048048e-07,2.704930802349708669e-39,2.704930802349708669e-39,6.384463874222793383e-52
2.428764382460450298e-07,2.704930478884887545e-39,2.704930478884887545e-39,6.810083226251717958e-52
2.468268452255692521e-07,2.704930144812162471e-39,2.704930144812162471e-39,7.264076406952502708e-52
2.508415059277541232e-07,2.704929799783652175e-39,2.704929799783652175e-39,7.748334949550990238e-52
