,Name,Amplitude,Distance,Drift,EclipticLatitude,EclipticLongitude,ErrorDistance,ErrorMass1,ErrorMass2,Frequency,FrequencyDerivative,GalacticLatitude,GalacticLongitude,Inclination,InitialPhase,Mass1,Mass2,Period,Polarization
26,b'ZTFJ2243',1.0125936636572174e-22,2120.0,1.66e-11,0.9417782091090326,0.23105455309811554,123.0,0.08,0.09,0.0037883464908226344,-5.95590119082919e-17,-0.09511292815513414,1.817785103663728,1.4290755915329567,2.3709282696632825,0.349,0.384,527.934814,4.507894048871352
27,b'SDSSJ0634',1.7254856409336864e-22,435.0,0.0,0.2589910120594971,1.694354936005958,16.0,0.065,0.025500000000000002,0.0012567550584391101,1.4529589786403683e-18,0.23249858951973465,3.0845598182754626,0.6457718232379019,3.6036365195863613,0.452,0.209,1591.4,5.028874556936197
28,b'ZTFJ0722',1.129764608432857e-22,928.0,0.0,-0.7027579770868786,2.0225953804946224,27.0,0.04,0.03,0.0014059273072807481,2.8413541069312604e-18,-0.03246985519998548,4.06649418668767,1.5648622073381158,1.9823192246938757,0.38,0.33,1422.548655,4.584771723524366
29,b'PTF1919',3.2017506167904913e-23,1338.0,0.0,1.2047846032604803,5.393039090170294,555.0,0.1,0.026,0.0014843952944669167,1.3664481056723658e-18,0.27223120109988946,1.389186219980828,1.0471975511965976,0.6029880309099467,0.8,0.066,1347.35,4.104032738049671
30,b'V803Cen',1.599302325550565e-22,347.0,0.0,-0.5291275512462306,3.772765363073678,29.5,0.19,0.025,0.0012528188423953895,1.0642059773884452e-18,0.36174040425764115,5.399474653849487,0.23561944901923448,2.941195195443305,0.975,0.08399999999999999,1596.4,4.698030703573854
31,b'SDSSJ1351',6.168701150709175e-23,1317.0,0.0,0.0780531352332112,3.636986147762978,531.0,0.1,0.04,0.002119003220884896,7.538330551485544e-18,0.9271886701964408,5.73344343725466,1.0471975511965976,4.575831363947143,0.8,0.1,943.84,1.2852901366370226
32,b'SDSSJ1235',1.0857371994620885e-22,446.0,0.0,0.3133292723651547,3.1727790347465317,5.0,0.0,0.0,0.00063039619139837,1.1830446591234215e-19,1.3619153219162152,4.965786353164739,0.07853981633974483,2.411792644955149,0.35,0.27,3172.608,2.7623685280761947
33,b'ZTFJ0538',2.3839576031842416e-22,684.0,0.0,-0.06033078400806696,1.4804966726822584,16.0,0.05,0.03,0.002307861021209347,1.9547193247307126e-17,-0.10858081354739292,3.2604568047818625,1.4910347799787558,5.831867556758204,0.45,0.32,866.60331,5.480042886388346
34,b'SDSSJ0651',1.619054139892289e-22,933.0,-9.2e-12,0.1013401640922955,1.76860884282593,493.0,0.015,0.02,0.002612671456564337,1.5699919921875832e-17,0.22145790314655026,3.26250397053449,1.5166911199830724,2.8863269571102226,0.247,0.49,765.5,6.040068359785516
35,b'SDSSJ1908',6.058847755160548e-23,1044.0,0.0,1.0725776721181566,5.204804002612463,51.0,0.1,0.03,0.0018421295017039697,3.856131474449337e-18,0.24320985843487877,1.2333614815668872,0.2617993877991494,3.1429922509263313,0.8,0.085,1085.7,3.741917727527864
