-321084.943541 0.2454526776 0.3617484090 0.3110776572 -0.1480617147 -0.0973909629 -0.2136866943
0.000000 0.2468668398 0.3601216647 0.3232216927 -0.1418834059 -0.1049834339 -0.2182382588
321084.943541 0.2586534978 0.3652679641 0.3423743276 -0.1407735671 -0.1178799306 -0.2244943970
642169.887082 0.2804885473 0.3776673703 0.3678313471 -0.1451622853 -0.1353262621 -0.2325050850
963254.830623 0.3117550740 0.3977228766 0.3990092504 -0.1552343501 -0.1565207239 -0.2424885266
1284339.774163 0.3516062832 0.4256718517 0.4354657687 -0.1709061831 -0.1807001001 -0.2547656686
1605424.717704 0.3990449095 0.4615167376 0.4768839353 -0.1918388559 -0.2072060536 -0.2696778817
1926509.661245 0.4530047752 0.5049854368 0.5230251205 -0.2174825457 -0.2355222295 -0.2875028911
2247594.604786 0.5124208059 0.5555260082 0.5736617851 -0.2471425145 -0.2652782914 -0.3083834937
2568679.548327 0.5762770304 0.6123340188 0.6285038166 -0.2800536163 -0.2962234141 -0.3322804025
2889764.491868 0.6436271481 0.6744053750 0.6871326923 -0.3154499154 -0.3281772327 -0.3589554596
3210849.435409 0.7135880288 0.7406037317 0.7489554387 -0.3526181609 -0.3609698679 -0.3879855708
3531934.378950 0.7853118518 0.8097302265 0.8131860395 -0.3909280194 -0.3943838324 -0.4188022071
3853019.322490 0.8579464440 0.8805844097 0.8788565316 -0.4298371611 -0.4281092830 -0.4507472486
4174104.266031 0.9305950913 0.9520084022 0.9448546517 -0.4688744209 -0.4617206704 -0.4831339813
4495189.209572 1.0022864626 1.0229107114 1.0099805840 -0.5076082950 -0.4946781676 -0.5153024164
4816274.153113 1.0719626149 1.0922707712 1.0730128428 -0.5456102717 -0.5263523433 -0.5466604995
5137359.096654 1.1384890114 1.1591291789 1.1327729250 -0.5824226327 -0.5560663788 -0.5767065462
5458444.040195 1.2006859995 1.2225710484 1.1881799369 -0.6175385555 -0.5831474440 -0.6050324929
5779528.983736 1.2573771791 1.2817105232 1.2382894184 -0.6503991419 -0.6069780371 -0.6313113812
6100613.927276 1.3074472847 1.3356833439 1.2823142791 -0.6804081748 -0.6270391099 -0.6552751692
6421698.870817 1.3499010290 1.3836518585 1.3196293132 -0.7069617872 -0.6429392418 -0.6766900713
6742783.814358 1.3839148655 1.4248236609 1.3497634679 -0.7294875292 -0.6544273363 -0.6953361316
7063868.757899 1.4088755139 1.4584818800 1.3723854748 -0.7474859595 -0.6613895544 -0.7109959205
7384953.701440 1.4244018213 1.4840226555 1.3872885012 -0.7605679879 -0.6638338335 -0.7234546677
7706038.644981 1.4303494589 1.5009939624 1.3943783429 -0.7684825392 -0.6618669197 -0.7325114232
8027123.588522 1.4268004876 1.5091298177 1.3936677856 -0.7711312599 -0.6556692278 -0.7379985578
8348208.532063 1.4140415616 1.5083748777 1.3852776311 -0.7685694041 -0.6454721576 -0.7398054736
8669293.475603 1.3925352850 1.4988961672 1.3694430225 -0.7609942148 -0.6315410702 -0.7379019524
8990378.419144 1.3628890780 1.4810807169 1.3465224433 -0.7487236758 -0.6141654022 -0.7323570411
9311463.362685 1.3258250784 1.4555197911 1.3170062751 -0.7321692972 -0.5936557812 -0.7233504939
9632548.306226 1.2821534478 1.4229818476 1.2815220087 -0.7118066434 -0.5703468044 -0.7111752043
9953633.249767 1.2327502998 1.3843772374 1.2408339194 -0.6881468089 -0.5446034909 -0.6962304285
10274718.193308 1.1785405478 1.3407179412 1.1958359488 -0.6617112701 -0.5168292777 -0.6790066711
10595803.136849 1.1204853800 1.2930755144 1.1475374327 -0.6330117309 -0.4874736491 -0.6600637836
10916888.080390 1.0595737726 1.2425400586 1.0970420005 -0.6025359154 -0.4570378573 -0.6400041433
11237973.023930 0.9968173140 1.1901826519 1.0455204007 -0.5707397826 -0.4260775314 -0.6194428693
11559057.967471 0.9332474849 1.1370233405 0.9941782440 -0.5380462907 -0.3952011942 -0.5989770498
11880142.911012 0.8699143123 1.0840065130 0.9442198363 -0.5048504945 -0.3650638178 -0.5791560185
12201227.854553 0.8078849705 1.0319851599 0.8968095205 -0.4715303050 -0.3363546655 -0.5604548550
12522312.798094 0.7482405342 0.9817150240 0.8530323508 -0.4384616037 -0.3097789305 -0.5432534203
12843397.741635 0.6920688594 0.9338588703 0.8138564352 -0.4060356472 -0.2860332122 -0.5278232231
13164482.685176 0.6404516593 0.8890000344 0.7800997817 -0.3746759560 -0.2657757033 -0.5143240784
13485567.628716 0.5944443963 0.8476631348 0.7524047614 -0.3448513849 -0.2495930115 -0.5028117499
13806652.572257 0.5550486414 0.8103385851 0.7312231489 -0.3170820388 -0.2379666026 -0.4932565463
14127737.515798 0.5231779497 0.7775065912 0.7168139694 -0.2919352857 -0.2312426640 -0.4855713055
14448822.459339 0.4996198123 0.7496559465 0.7092550679 -0.2700103455 -0.2296094668 -0.4796456011
14769907.402880 0.4849975357 0.7272933408 0.7084675531 -0.2519116617 -0.2330858740 -0.4753816791
15090992.346421 0.4797366542 0.7109401161 0.7142503547 -0.2382132078 -0.2415234464 -0.4727269083
15412077.289962 0.4840404366 0.7011152951 0.7263204368 -0.2294176475 -0.2546227891 -0.4716976477
15733162.233503 0.4978781422 0.6983059581 0.7443531170 -0.2259154916 -0.2719626505 -0.4723904665
16054247.177043 0.5209880099 0.7029282458 0.7680167306 -0.2279497626 -0.2930382473 -0.4749784833
16375332.120584 0.5528948335 0.7152839713 0.7969966662 -0.2355910693 -0.3173037642 -0.4796929020
16696417.064125 0.5929397970 0.7355186898 0.8310054886 -0.2487264991 -0.3442132979 -0.4867921907
17017502.007666 0.6403184686 0.7635869248 0.8697781563 -0.2670636185 -0.3732548501 -0.4965233062
